accession,cds_id,start,end,strand,phrog_id,phrog_category,phrog_annot,method
DQ004855.1,,6694,6590,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,6670,7398,,6631,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,7500,7820,,9678,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,7903,8172,,1108,head and packaging,portal protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,8177,9832,,15361,head and packaging,portal protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,9955,10725,,1028,head and packaging,head maturation protease,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,10718,11620,,1133,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,11790,13196,,752,head and packaging,major head protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,13278,13613,,9462,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,13620,14501,,772,tail,tail fiber protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,14519,15337,,1004,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,15397,15954,,1127,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,15967,16806,,1000,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,16806,17126,,9471,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,17130,18818,,279,tail,tail sheath,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,18886,19308,,985,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,19459,19902,,1038,tail,tail assembly chaperone,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,19958,20557,,1316,"DNA, RNA and nucleotide metabolism",RNA polymerase beta subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,20700,24347,,1047,tail,tail associated lysin,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,24393,26780,,1015,tail,tail protein with lysin activity,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,26798,28330,,7994,other,glycerophosphoryl diester phosphodiesterase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,28368,29081,,1011,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,29086,29619,,1073,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,29606,30316,,975,tail,baseplate protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,30453,31376,,6,tail,baseplate wedge subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,31412,35341,,2386,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,35458,35979,,1394,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,36113,39451,,877,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,39497,39718,,1074,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,39721,41013,,9794,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,41045,41455,,9920,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,41452,41589,,134,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,41690,43435,,16,"DNA, RNA and nucleotide metabolism",DNA helicase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,43450,45090,,1098,"DNA, RNA and nucleotide metabolism",HTH DNA binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,45108,46571,,19,"DNA, RNA and nucleotide metabolism",DnaB-like replicative helicase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,46586,47638,,100,"DNA, RNA and nucleotide metabolism",SbcD-like subunit of palindrome specific endonuclease,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,47733,48113,,21388,"DNA, RNA and nucleotide metabolism",exonuclease,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,48184,49617,,77,"DNA, RNA and nucleotide metabolism",SbcC-like subunit of palindrome specific endonuclease,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,49637,50227,,1070,"moron, auxiliary metabolic gene and host takeover",anti-sigma factor,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,50227,51288,,47,"DNA, RNA and nucleotide metabolism",DNA primase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,51383,51982,,135,"DNA, RNA and nucleotide metabolism",dUTPase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,51979,52203,,10262,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,52200,52523,,7516,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,52516,52938,,1095,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,52941,53561,,244,"DNA, RNA and nucleotide metabolism",RusA-like Holliday junction resolvase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,53660,55027,,3987,"DNA, RNA and nucleotide metabolism",ribonucleotide reductase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,55238,56269,,3844,"moron, auxiliary metabolic gene and host takeover",NrdA-like aerobic NDP reductase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,56332,56424,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,56445,57476,,86,"DNA, RNA and nucleotide metabolism",ribonucleoside diphosphate reductase small subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,57473,57925,,883,"moron, auxiliary metabolic gene and host takeover",flavodoxin,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,57928,58224,,9820,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,58248,58940,,9691,"DNA, RNA and nucleotide metabolism",thioredoxin domain,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,58943,59080,,9795,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,59083,60270,,12487,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,60279,61181,,619,other,ribose-phosphate pyrophosphokinase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,61192,62985,,448,other,nicotinamide phosphoribosyl transferase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,63072,65540,,9253,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,65634,66422,,1054,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,66415,66729,,379,"DNA, RNA and nucleotide metabolism",DNA binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,66812,67648,,4008,"DNA, RNA and nucleotide metabolism",DNA polymerase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,67692,67781,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,67923,70091,,17,"DNA, RNA and nucleotide metabolism",DNA polymerase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,70186,70662,,1069,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,70700,71959,,1867,"DNA, RNA and nucleotide metabolism",single strand DNA binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,72029,73273,,97,other,UvsX-like recombinase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,73335,73712,,1089,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,73712,74350,,1025,transcription regulation,RNA polymerase sigma factor,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,74409,74570,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,74579,74773,,263,lysis,holin,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,74791,75498,,215,head and packaging,structural protein with Ig domain,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,75606,75992,,9872,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,75989,76918,,1850,other,exopolyphosphatase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,76977,78248,,284,"DNA, RNA and nucleotide metabolism",exonuclease,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,78268,78651,,7143,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,78659,79204,,1080,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,79250,79456,,15858,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,79507,80214,,984,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,80225,80707,,2356,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,80767,81651,,1113,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,81812,82177,,9749,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,82183,82629,,6360,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,82604,83434,,9512,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,83439,84455,,249,"moron, auxiliary metabolic gene and host takeover",porphyrin biosynthesis,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,84442,85287,,7005,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,85349,85816,,7350,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,85849,86421,,10641,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,86418,86996,,10568,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,86989,87321,,9358,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,87448,87537,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,87607,88335,,1007,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,88350,88817,,1104,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,88932,89975,,9186,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,90023,90592,,9719,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,90595,91128,,9011,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,91143,91901,,9671,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,91914,92204,,10429,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,92473,92375,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,92914,92633,,16836,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,93033,92905,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,93131,93021,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,93304,93149,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,93338,93427,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,93457,93597,,3543,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,93683,93832,,10369,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,93942,94724,,12014,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,94743,94832,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,94891,95100,,15212,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,95128,95238,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,95213,95476,,10046,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,95478,95579,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,95641,95835,,4655,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,95948,96340,,7822,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,96482,96766,,17618,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,97081,96989,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,97176,97036,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,97353,97607,,14554,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,97604,97864,,9566,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,97888,98073,,18466,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,98092,98265,,10584,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,98422,98682,,9527,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,98696,98983,,9852,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,99137,99409,,9612,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,99426,99524,,1933,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,99726,99854,,9360,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,99925,100071,,27358,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,100157,100561,,9107,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,100564,100782,,9107,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,100784,101005,,7175,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,101012,101248,,1150,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,101245,101511,,12028,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,101504,101995,,13577,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,101998,102504,,12804,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,102515,103699,,11450,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,103862,104287,,7738,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,104305,104595,,6964,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,104592,104777,,6159,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,104777,105124,,3392,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,105156,105416,,9728,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,105496,105828,,9112,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,105928,106224,,11576,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,106289,106468,,30920,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,106491,106853,,10101,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,106853,107209,,10214,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,108026,107253,,246,other,NinI-like serine-threonine phosphatase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,108359,108039,,9499,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,108660,108352,,9952,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,109183,108674,,7296,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,109396,109205,,6414,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,109686,109402,,10844,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,109879,109760,,9730,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,110157,109876,,9517,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,110441,110217,,14763,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,110984,110442,,9379,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,111208,110981,,9937,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,112464,111211,,10246,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,112891,112466,,10136,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,113444,112956,,10442,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,114082,113450,,9902,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,114282,114085,,12982,tail,tail fiber protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,114784,114272,,1934,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,115337,114864,,547,other,phosphoesterase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,115696,115478,,9695,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,116090,115713,,1238,"moron, auxiliary metabolic gene and host takeover",phosphoheptose isomerase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,116449,116093,,9618,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,117468,116527,,548,"DNA, RNA and nucleotide metabolism",RNA ligase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,118018,117482,,1460,"DNA, RNA and nucleotide metabolism",tRNA amidotransferase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,118206,118015,,9898,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,118710,118207,,1017,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,118981,118712,,9717,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,120239,119028,,1075,"DNA, RNA and nucleotide metabolism",tRNA splicing ligase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,120547,120344,,9650,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,120971,120540,,990,other,metal-dependent phosphohydrolase,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,121209,120985,,14899,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,121465,121223,,8,transcription regulation,transcriptional regulator,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,123090,121570,,850,"DNA, RNA and nucleotide metabolism",RNA-binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,123023,123118,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,123326,123472,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,123530,123631,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,124019,123801,,6885,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,124217,124378,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,124502,124386,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,124597,124689,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,124683,124802,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,124795,124923,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,125497,125090,,9386,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,125720,125523,,9389,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,126092,125970,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,126596,126501,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,126587,126706,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,126811,126906,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,128130,127855,,1048,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,128586,128254,,9075,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,128974,129063,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,129467,129378,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,129594,129472,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,129725,129633,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,129810,129902,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,130275,130039,,1215,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,130666,130325,,937,other,hemolysin,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,131035,130691,,1481,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,131320,131051,,15252,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,4,504,,51,head and packaging,terminase small subunit,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,507,2405,,3639,tail,minor tail protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,2418,3857,,18602,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,3863,4219,,1009,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,4216,4500,,297,lysis,holin,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,4500,5447,,5115,"moron, auxiliary metabolic gene and host takeover",ferredoxin,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,5516,6859,,3717,head and packaging,terminase large subunit,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,6892,8541,,64,head and packaging,portal protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,8548,9333,,8089,head and packaging,head morphogenesis,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,9403,10044,,172,head and packaging,head scaffolding protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,10075,10980,,544,head and packaging,major head protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,11046,11243,,17541,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,11257,12135,,18435,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,12213,12572,,132,connector,head-tail adaptor,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,12569,12985,,16721,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,12921,13349,,17081,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,13349,13768,,176,connector,tail terminator,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,13792,14502,,41,tail,major tail protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,14603,14890,,18667,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,14953,15555,,17465,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,15564,15728,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,15697,18609,,1533,tail,tail length tape measure protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,18614,20704,,202,tail,distal tail protein Dit,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,20716,23502,,17797,tail,tail protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,23712,23548,,7571,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,24112,23741,,17281,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,24302,24102,,18550,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,25022,24315,,6883,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,25148,25059,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,25787,25269,,17927,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,26437,25784,,17662,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,26469,26681,,32383,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,26827,26973,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,27253,27026,,18039,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,27570,27412,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,27553,27924,,59,"DNA, RNA and nucleotide metabolism",HNH endonuclease,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,28126,28509,,6154,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,28573,29310,,50,"DNA, RNA and nucleotide metabolism",DnaC-like helicase loader,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,29311,30639,,19,"DNA, RNA and nucleotide metabolism",DnaB-like replicative helicase,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,30716,31681,,47,"DNA, RNA and nucleotide metabolism",DNA primase,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,31675,32130,,17905,other,methyltransferase,ab initio prediction:PHANOTATE:1.6.7
JX442241.1,,32111,33598,,12241,"DNA, RNA and nucleotide metabolism",DNA polymerase,ab initio prediction:PHANOTATE:1.6.7
