accession,name,site_start,site_end,gap_bp,left_gene,left_category,left_phrog_category,right_gene,right_category,right_phrog_category,dist_to_lysis_bp,insertion_score,rationale
DQ003638.2,"Listeria phage A511, complete genome",53462,53530,68,tail assembly chaperone,essential,tail,RNA polymerase beta subunit,essential,"DNA, RNA and nucleotide metabolism",14001,5.0,minimal gap (68 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",54123,54266,143,RNA polymerase beta subunit,essential,"DNA, RNA and nucleotide metabolism",tail associated lysin,essential,tail,14699,5.0,minimal gap (143 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",63882,64019,137,baseplate protein,essential,tail,baseplate wedge subunit,essential,tail,24455,5.0,minimal gap (137 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",68907,69024,117,virion structural protein,essential,head and packaging,virion structural protein,essential,head and packaging,29470,5.0,minimal gap (117 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",81204,81299,95,SbcD-like subunit of palindrome specific endonuclease,essential,"DNA, RNA and nucleotide metabolism",SbcC-like subunit of palindrome specific endonuclease,essential,"DNA, RNA and nucleotide metabolism",26925,5.0,minimal gap (95 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",84853,84948,95,DNA primase,essential,"DNA, RNA and nucleotide metabolism",dUTPase,essential,"DNA, RNA and nucleotide metabolism",23276,5.0,minimal gap (95 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",87126,87223,97,RusA-like Holliday junction resolvase,essential,"DNA, RNA and nucleotide metabolism",ribonucleotide reductase large subunit,essential,"DNA, RNA and nucleotide metabolism",21002,5.0,minimal gap (97 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",92152,92235,83,thioredoxin domain,essential,"DNA, RNA and nucleotide metabolism",thioredoxin domain,essential,"DNA, RNA and nucleotide metabolism",15983,5.0,minimal gap (83 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",100314,100397,83,DNA binding protein,essential,"DNA, RNA and nucleotide metabolism",DNA polymerase,essential,"DNA, RNA and nucleotide metabolism",7821,5.0,minimal gap (83 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",6590,7500,910,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,1061,80.0,tight gap (910 bp) · neither flank essential · near lysis cluster (1061 bp) · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",5408,5472,64,hypothetical protein,permissive,unknown function,endolysin,lysis,lysis,544,73.0,minimal gap (64 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",6497,6670,173,endolysin,lysis,lysis,hypothetical protein,permissive,unknown function,599,73.0,minimal gap (173 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",73273,73335,62,UvsX-like recombinase,permissive,other,hypothetical protein,permissive,unknown function,1372,70.0,minimal gap (62 bp) · neither flank essential · near lysis cluster (1372 bp) · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",74350,74409,59,RNA polymerase sigma factor,permissive,transcription regulation,hypothetical protein,permissive,unknown function,297,70.0,minimal gap (59 bp) · neither flank essential · near lysis cluster (297 bp) · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",107253,108359,1106,NinI-like serine-threonine phosphatase,permissive,other,hypothetical protein,permissive,unknown function,33130,70.0,comfortable gap (1106 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",110981,112464,1483,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,37046,70.0,comfortable gap (1483 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",111211,112891,1680,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,37375,70.0,comfortable gap (1680 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",112956,114082,1126,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,38843,70.0,comfortable gap (1126 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",114272,115337,1065,hypothetical protein,permissive,unknown function,phosphoesterase,permissive,other,40128,70.0,comfortable gap (1065 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",121223,123023,1800,transcriptional regulator,permissive,transcription regulation,hypothetical protein,permissive,unknown function,47447,70.0,comfortable gap (1800 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",126906,128130,1224,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,52842,70.0,comfortable gap (1224 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",79456,79507,51,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,4805,60.0,minimal gap (51 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",92375,92914,539,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,17968,60.0,tight gap (539 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",107209,108026,817,hypothetical protein,permissive,unknown function,NinI-like serine-threonine phosphatase,permissive,other,32941,60.0,tight gap (817 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",108039,108660,621,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,33673,60.0,tight gap (621 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",108352,109183,831,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,34091,60.0,tight gap (831 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",108674,109396,722,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,34359,60.0,tight gap (722 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",109876,110441,565,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,35482,60.0,tight gap (565 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",110217,110984,767,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,35924,60.0,tight gap (767 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",110442,111208,766,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,36149,60.0,tight gap (766 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",112466,113444,978,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,38279,60.0,tight gap (978 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",114864,115696,832,phosphoesterase,permissive,other,hypothetical protein,permissive,unknown function,40604,60.0,tight gap (832 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",115478,116090,612,hypothetical protein,permissive,unknown function,phosphoheptose isomerase,permissive,"moron, auxiliary metabolic gene and host takeover",41108,60.0,tight gap (612 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",115713,116449,736,phosphoheptose isomerase,permissive,"moron, auxiliary metabolic gene and host takeover",hypothetical protein,permissive,unknown function,41405,60.0,tight gap (736 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",118015,118710,695,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,43686,60.0,tight gap (695 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",118207,118981,774,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,43918,60.0,tight gap (774 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",120344,120971,627,hypothetical protein,permissive,unknown function,metal-dependent phosphohydrolase,permissive,other,45981,60.0,tight gap (627 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",120540,121209,669,metal-dependent phosphohydrolase,permissive,other,hypothetical protein,permissive,unknown function,46198,60.0,tight gap (669 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",124923,125497,574,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,50534,60.0,tight gap (574 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",125090,125720,630,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,50729,60.0,tight gap (630 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",125523,126092,569,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,51131,60.0,tight gap (569 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",125970,126587,617,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,51602,60.0,tight gap (617 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",127855,128586,731,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,53544,60.0,tight gap (731 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",128254,128974,720,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,53938,60.0,tight gap (720 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",130039,130666,627,hypothetical protein,permissive,unknown function,hemolysin,permissive,other,55676,60.0,tight gap (627 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",130325,131035,710,hemolysin,permissive,other,hypothetical protein,permissive,unknown function,56004,60.0,tight gap (710 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",130691,131320,629,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,56329,60.0,tight gap (629 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",1625,3369,1744,hypothetical protein,permissive,unknown function,virion structural protein,essential,head and packaging,3487,58.0,comfortable gap (1744 bp ≥ 1000) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",56269,56332,63,NrdA-like aerobic NDP reductase large subunit,permissive,"moron, auxiliary metabolic gene and host takeover",hypothetical protein,permissive,unknown function,18376,50.0,minimal gap (63 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",62985,63072,87,nicotinamide phosphoribosyl transferase,permissive,other,hypothetical protein,permissive,unknown function,11648,50.0,minimal gap (87 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",65540,65634,94,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,9089,50.0,minimal gap (94 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",80707,80767,60,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,6061,50.0,minimal gap (60 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",81651,81812,161,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,7055,50.0,minimal gap (161 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",85287,85349,62,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,10642,50.0,minimal gap (62 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",87321,87448,127,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,12708,50.0,minimal gap (127 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",87537,87607,70,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,12896,50.0,minimal gap (70 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",92204,92473,269,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,17662,50.0,minimal gap (269 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",92633,93033,400,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18157,50.0,minimal gap (400 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",92905,93131,226,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18342,50.0,minimal gap (226 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",93021,93304,283,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18486,50.0,minimal gap (283 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",93149,93338,189,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18567,50.0,minimal gap (189 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",93597,93683,86,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18964,50.0,minimal gap (86 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",93832,93942,110,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,19211,50.0,minimal gap (110 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",94832,94891,59,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,20185,50.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",95579,95641,62,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,20934,50.0,minimal gap (62 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",95835,95948,113,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,21215,50.0,minimal gap (113 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",96340,96482,142,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,21735,50.0,minimal gap (142 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",96766,97081,315,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22247,50.0,minimal gap (315 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",96989,97176,187,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22406,50.0,minimal gap (187 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",97036,97353,317,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22518,50.0,minimal gap (317 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",98265,98422,157,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,23667,50.0,minimal gap (157 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",98983,99137,154,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,24384,50.0,minimal gap (154 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",99524,99726,202,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,24949,50.0,minimal gap (202 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",99854,99925,71,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,25213,50.0,minimal gap (71 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",100071,100157,86,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,25438,50.0,minimal gap (86 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",103699,103862,163,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,29104,50.0,minimal gap (163 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",105416,105496,80,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,30780,50.0,minimal gap (80 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",105828,105928,100,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,31202,50.0,minimal gap (100 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",106224,106289,65,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,31580,50.0,minimal gap (65 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",109205,109686,481,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,34769,50.0,minimal gap (481 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",109402,109879,477,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,34964,50.0,minimal gap (477 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",109760,110157,397,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,35282,50.0,minimal gap (397 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",120985,121465,480,hypothetical protein,permissive,unknown function,transcriptional regulator,permissive,transcription regulation,46549,50.0,minimal gap (480 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",123472,123530,58,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,48825,50.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",123631,124019,388,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,49149,50.0,minimal gap (388 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",123801,124217,416,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,49333,50.0,minimal gap (416 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",124378,124502,124,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,49764,50.0,minimal gap (124 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",124386,124597,211,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,49815,50.0,minimal gap (211 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",126501,126811,310,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,51980,50.0,minimal gap (310 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",129063,129467,404,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54589,50.0,minimal gap (404 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",129378,129594,216,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54810,50.0,minimal gap (216 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",129472,129725,253,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54922,50.0,minimal gap (253 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",129633,129810,177,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,55045,50.0,minimal gap (177 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",129902,130275,373,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,55412,50.0,minimal gap (373 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ004855.1,"Listeria phage P100, complete genome",7820,7903,83,hypothetical protein,permissive,unknown function,portal protein,essential,head and packaging,1877,48.0,minimal gap (83 bp) · one flank essential (acceptable) · near lysis cluster (1877 bp) · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",75498,75606,108,structural protein with Ig domain,essential,head and packaging,hypothetical protein,permissive,unknown function,876,48.0,minimal gap (108 bp) · one flank essential (acceptable) · near lysis cluster (876 bp) · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",116093,117468,1375,hypothetical protein,permissive,unknown function,RNA ligase,essential,"DNA, RNA and nucleotide metabolism",42104,48.0,comfortable gap (1375 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",118712,120239,1527,hypothetical protein,permissive,unknown function,tRNA splicing ligase,essential,"DNA, RNA and nucleotide metabolism",44799,48.0,comfortable gap (1527 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",119028,120547,1519,tRNA splicing ligase,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,45111,48.0,comfortable gap (1519 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",121570,123326,1756,RNA-binding protein,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,47772,48.0,comfortable gap (1756 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",1357,1747,390,hypothetical protein,permissive,unknown function,terminase large subunit,essential,head and packaging,4432,38.0,minimal gap (390 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",70091,70186,95,DNA polymerase,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,4538,38.0,minimal gap (95 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",71959,72029,70,single strand DNA binding protein,essential,"DNA, RNA and nucleotide metabolism",UvsX-like recombinase,permissive,other,2682,38.0,minimal gap (70 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",76918,76977,59,exopolyphosphatase,permissive,other,exonuclease,essential,"DNA, RNA and nucleotide metabolism",2271,38.0,minimal gap (59 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",113450,114282,832,hypothetical protein,permissive,unknown function,tail fiber protein,essential,tail,39190,38.0,tight gap (832 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",114085,114784,699,tail fiber protein,essential,tail,hypothetical protein,permissive,unknown function,39758,38.0,tight gap (699 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",117482,118206,724,tRNA amidotransferase,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,43168,38.0,tight gap (724 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",11620,11790,170,hypothetical protein,permissive,unknown function,major head protein,essential,head and packaging,5721,28.0,minimal gap (170 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",13196,13278,82,major head protein,essential,head and packaging,hypothetical protein,permissive,unknown function,7253,28.0,minimal gap (82 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",15337,15397,60,virion structural protein,essential,head and packaging,hypothetical protein,permissive,unknown function,9383,28.0,minimal gap (60 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",35979,36113,134,virion structural protein,essential,head and packaging,hypothetical protein,permissive,unknown function,30062,28.0,minimal gap (134 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",41589,41690,101,hypothetical protein,permissive,unknown function,DNA helicase,essential,"DNA, RNA and nucleotide metabolism",33037,28.0,minimal gap (101 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",55027,55238,211,ribonucleotide reductase large subunit,essential,"DNA, RNA and nucleotide metabolism",NrdA-like aerobic NDP reductase large subunit,permissive,"moron, auxiliary metabolic gene and host takeover",19544,28.0,minimal gap (211 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",67781,67923,142,hypothetical protein,permissive,unknown function,DNA polymerase,essential,"DNA, RNA and nucleotide metabolism",6824,28.0,minimal gap (142 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",88817,88932,115,virion structural protein,essential,head and packaging,hypothetical protein,permissive,unknown function,14198,28.0,minimal gap (115 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ004855.1,"Listeria phage P100, complete genome",116527,118018,1491,RNA ligase,essential,"DNA, RNA and nucleotide metabolism",tRNA amidotransferase,essential,"DNA, RNA and nucleotide metabolism",42596,25.0,comfortable gap (1491 bp ≥ 1000) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",9832,9955,123,portal protein,essential,head and packaging,head maturation protease,essential,head and packaging,3909,15.0,minimal gap (123 bp) · ⚠ both flanks essential · within 5 kb of lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",18818,18886,68,tail sheath,essential,tail,virion structural protein,essential,head and packaging,12868,5.0,minimal gap (68 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",19308,19459,151,virion structural protein,essential,head and packaging,tail assembly chaperone,essential,tail,13399,5.0,minimal gap (151 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",19902,19958,56,tail assembly chaperone,essential,tail,RNA polymerase beta subunit,essential,"DNA, RNA and nucleotide metabolism",13946,5.0,minimal gap (56 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",20557,20700,143,RNA polymerase beta subunit,essential,"DNA, RNA and nucleotide metabolism",tail associated lysin,essential,tail,14644,5.0,minimal gap (143 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",30316,30453,137,baseplate protein,essential,tail,baseplate wedge subunit,essential,tail,24400,5.0,minimal gap (137 bp) · ⚠ both flanks essential · far from lysis cluster
