accession,name,site_start,site_end,gap_bp,left_gene,left_category,right_gene,right_category,dist_to_lysis_bp,insertion_score,rationale
JX442241.1,"Listeria phage P70, complete genome",23502,23740,238,tail protein,essential,hypothetical protein,permissive,18648.0,28.0,minimal gap (238 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",33598,33714,116,DNA polymerase,essential,HNH endonuclease,permissive,28683.0,28.0,minimal gap (116 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",34405,34521,116,hypothetical protein,permissive,DNA polymerase,essential,29490.0,28.0,minimal gap (116 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",35166,35221,55,DNA polymerase,essential,HNH endonuclease,permissive,30220.0,28.0,minimal gap (55 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",30639,30715,76,helicase,essential,primase,essential,25704.0,5.0,minimal gap (76 bp) · ⚠ both flanks essential · far from lysis cluster
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",44123,44186,63,hypothetical protein,permissive,endolysin,lysis,545.0,73.0,minimal gap (63 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",45212,45384,172,endolysin,lysis,putative transglycosylase,permissive,599.0,73.0,minimal gap (172 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",22663,22803,140,putative phosphoesterase,permissive,hypothetical protein,permissive,494.0,70.0,minimal gap (140 bp) · neither flank essential · near lysis cluster (494 bp) · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",31367,32419,1052,hypothetical protein,permissive,hypothetical protein,permissive,8666.0,70.0,comfortable gap (1052 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",32987,35185,2198,hypothetical protein,permissive,hypothetical protein,permissive,10613.0,70.0,comfortable gap (2198 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",36016,37369,1353,hypothetical protein,permissive,hypothetical protein,permissive,8007.0,70.0,comfortable gap (1353 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",46113,46236,123,putative transglycosylase,permissive,hypothetical protein,permissive,1475.0,70.0,minimal gap (123 bp) · neither flank essential · near lysis cluster (1475 bp) · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",46536,46618,82,hypothetical protein,permissive,hypothetical protein,permissive,1878.0,70.0,minimal gap (82 bp) · neither flank essential · near lysis cluster (1878 bp) · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",115885,115946,61,putative RecA protein,permissive,hypothetical protein,permissive,1288.0,70.0,minimal gap (61 bp) · neither flank essential · near lysis cluster (1288 bp) · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",118111,118218,107,hypothetical protein,permissive,hypothetical protein,permissive,961.0,70.0,minimal gap (107 bp) · neither flank essential · near lysis cluster (961 bp) · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",7066,7650,584,putative oxygenase protein,permissive,hypothetical protein,permissive,15869.0,60.0,tight gap (584 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",20216,20281,65,hypothetical protein,permissive,hypothetical protein,permissive,2979.0,60.0,minimal gap (65 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",46888,47030,142,hypothetical protein,permissive,hypothetical protein,permissive,2260.0,60.0,minimal gap (142 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",48548,48670,122,hypothetical protein,permissive,putative protease,permissive,3910.0,60.0,minimal gap (122 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",114571,114640,69,putative Zn binding protein,permissive,putative RecA protein,permissive,2598.0,60.0,minimal gap (69 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",119531,119589,58,putative phosphoesterase,permissive,putative phosphoesterase,permissive,2357.0,60.0,minimal gap (58 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",1382,1466,84,hypothetical protein,permissive,hypothetical protein,permissive,21803.0,50.0,minimal gap (84 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",1616,1703,87,hypothetical protein,permissive,hypothetical protein,permissive,21568.0,50.0,minimal gap (87 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",2253,2310,57,hypothetical protein,permissive,hypothetical protein,permissive,20946.0,50.0,minimal gap (57 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",3130,3311,181,hypothetical protein,permissive,hypothetical protein,permissive,20007.0,50.0,minimal gap (181 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",3656,3831,175,hypothetical protein,permissive,hypothetical protein,permissive,19484.0,50.0,minimal gap (175 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",4508,4618,110,putative antiCRISPR endonuclease,permissive,hypothetical protein,permissive,18664.0,50.0,minimal gap (110 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",4897,5236,339,hypothetical protein,permissive,hypothetical protein,permissive,18161.0,50.0,minimal gap (339 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",5410,5537,127,hypothetical protein,permissive,hypothetical protein,permissive,17754.0,50.0,minimal gap (127 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",6129,6282,153,hypothetical protein,permissive,hypothetical protein,permissive,17022.0,50.0,minimal gap (153 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",6555,6720,165,hypothetical protein,permissive,putative dioxygenase-oxidoreductase,permissive,16590.0,50.0,minimal gap (165 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",6849,6919,70,putative dioxygenase-oxidoreductase,permissive,putative oxygenase protein,permissive,16343.0,50.0,minimal gap (70 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",8575,8642,67,putative YopX domain protein,permissive,hypothetical protein,permissive,14619.0,50.0,minimal gap (67 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",8973,9043,70,hypothetical protein,permissive,hypothetical protein,permissive,14219.0,50.0,minimal gap (70 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",11016,11168,152,protein of unknown function DUF3310,permissive,putative DNA binding protein,permissive,12135.0,50.0,minimal gap (152 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",12744,12822,78,hypothetical protein,permissive,hypothetical protein,permissive,10444.0,50.0,minimal gap (78 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",13551,13802,251,hypothetical protein,permissive,hypothetical protein,permissive,9551.0,50.0,minimal gap (251 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",15287,15365,78,putative serine/threonine protein phosphatase,permissive,hypothetical protein,permissive,7901.0,50.0,minimal gap (78 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",17014,17087,73,hypothetical protein,permissive,hypothetical protein,permissive,6177.0,50.0,minimal gap (73 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",17485,17544,59,hypothetical protein,permissive,hypothetical protein,permissive,5713.0,50.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",28794,28894,100,putative DNA binding protein,permissive,hypothetical protein,permissive,5617.0,50.0,minimal gap (100 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",30415,30817,402,hypothetical protein,permissive,hypothetical protein,permissive,7389.0,50.0,minimal gap (402 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",31030,31130,100,hypothetical protein,permissive,hypothetical protein,permissive,7853.0,50.0,minimal gap (100 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",35461,35584,123,hypothetical protein,permissive,hypothetical protein,permissive,9177.0,50.0,minimal gap (123 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",37709,38021,312,hypothetical protein,permissive,hypothetical protein,permissive,6834.0,50.0,minimal gap (312 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",38651,38745,94,hypothetical protein,permissive,hypothetical protein,permissive,6001.0,50.0,minimal gap (94 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",39153,39414,261,hypothetical protein,permissive,hypothetical protein,permissive,5416.0,50.0,minimal gap (261 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",54062,54112,50,hypothetical protein,permissive,hypothetical protein,permissive,9388.0,50.0,minimal gap (50 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",58628,58683,55,putative tape measure chaperone,permissive,putative assembly chaperone,permissive,13956.0,50.0,minimal gap (55 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",59289,59431,142,putative assembly chaperone,permissive,putative tape measure protein,permissive,14661.0,50.0,minimal gap (142 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",74711,74844,133,putative BW3 fiber network component,permissive,putative receptor binding protein,permissive,30078.0,50.0,minimal gap (133 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",93564,93660,96,putative endonuclease,permissive,putative ribonucleotide reductase,permissive,23591.0,50.0,minimal gap (96 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",95028,95373,345,putative ribonucleotide reductase,permissive,putative ribonucleotide reductase,permissive,22003.0,50.0,minimal gap (345 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",95631,95840,209,putative ribonucleotide reductase,permissive,putative homing intron endonuclease,permissive,21468.0,50.0,minimal gap (209 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",96572,96887,315,putative homing intron endonuclease,permissive,putative ribonucleotide reductase,permissive,20474.0,50.0,minimal gap (315 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",97418,97791,373,putative ribonucleotide reductase,permissive,putative ribonucleotide reductase,permissive,19599.0,50.0,minimal gap (373 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",99403,99537,134,hypothetical protein,permissive,putative thioredoxin like protein,permissive,17733.0,50.0,minimal gap (134 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",101451,101513,62,hypothetical protein,permissive,putative ribose phosphate kinase,permissive,15721.0,50.0,minimal gap (62 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",104157,104243,86,putative phosphoribosyltransferase,permissive,hypothetical protein,permissive,13003.0,50.0,minimal gap (86 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",106712,106805,93,hypothetical protein,permissive,hypothetical protein,permissive,10445.0,50.0,minimal gap (93 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",116962,117020,58,putative RNA polymerase sigma factor,essential,putative holin,lysis,212.0,50.0,minimal gap (58 bp) · one flank essential (acceptable) · ⭐ adjacent to lysis gene
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",123320,123379,59,hypothetical protein,permissive,hypothetical protein,permissive,6146.0,50.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",124264,124356,92,hypothetical protein,permissive,hypothetical protein,permissive,7107.0,50.0,minimal gap (92 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",127895,127956,61,hypothetical protein,permissive,hypothetical protein,permissive,10722.0,50.0,minimal gap (61 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",130507,130792,285,hypothetical protein,permissive,hypothetical protein,permissive,13446.0,50.0,minimal gap (285 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",132003,132117,114,hypothetical protein,permissive,hypothetical protein,permissive,14857.0,50.0,minimal gap (114 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",133811,133870,59,putative DNA binding protein,permissive,hypothetical protein,permissive,16637.0,50.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",23775,23854,79,hypothetical protein,permissive,putative RNA ligase,essential,587.0,48.0,minimal gap (79 bp) · one flank essential (acceptable) · near lysis cluster (587 bp) · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",107901,107983,82,putative DNA binding protein,permissive,uracyl DNA glycosylase,other,9261.0,43.0,minimal gap (82 bp) · neither flank essential · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",27609,27672,63,putative tRNA ligase,essential,hypothetical protein,permissive,4413.0,38.0,minimal gap (63 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",40112,40461,349,hypothetical protein,permissive,putative terminase,essential,4413.0,38.0,minimal gap (349 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",42015,42113,98,putative terminase,essential,putative acetyltransferase,permissive,2635.0,38.0,minimal gap (98 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",112814,112902,88,putative DNA polymerase,essential,putative recombination protein,permissive,4345.0,38.0,minimal gap (88 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",108820,109658,838,uracyl DNA glycosylase,other,putative DNA polymerase,essential,7964.0,30.0,tight gap (838 bp) · one flank essential (acceptable) · far from lysis cluster
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",50330,50499,169,hypothetical protein,permissive,putative major capsid protein,essential,5715.0,28.0,minimal gap (169 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",51906,51987,81,putative major capsid protein,essential,hypothetical protein,permissive,7247.0,28.0,minimal gap (81 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",58033,58184,151,putative tail tube protein,essential,putative tape measure chaperone,permissive,13409.0,28.0,minimal gap (151 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",74073,74189,116,putative baseplate wedge 3 protein,essential,putative BW3 fiber network component,permissive,29432.0,28.0,minimal gap (116 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",80321,80421,100,hypothetical protein,permissive,putative DNA helicase,essential,35672.0,28.0,minimal gap (100 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",91291,91385,94,putative DNA primase,essential,putative dUTP phosphatase,permissive,25865.0,28.0,minimal gap (94 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",111149,111281,132,putative DNA polymerase,essential,hypothetical protein,permissive,5988.0,28.0,minimal gap (132 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",111971,112154,183,hypothetical protein,permissive,putative DNA polymerase,essential,5141.0,28.0,minimal gap (183 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",57543,57610,67,putative tail sheath protein,essential,putative tail tube protein,essential,12877.0,5.0,minimal gap (67 bp) · ⚠ both flanks essential · far from lysis cluster
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",69048,69112,64,putative baseplate wedge 1 protein,essential,putative baseplate wedge 2 protein,essential,24381.0,5.0,minimal gap (64 bp) · ⚠ both flanks essential · far from lysis cluster
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",70108,70551,443,putative baseplate wedge 2 protein,essential,putative baseplate wedge 3 protein,essential,25630.0,5.0,minimal gap (443 bp) · ⚠ both flanks essential · far from lysis cluster
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",86575,86688,113,putative helicase,essential,putative DNA repair protein,essential,30572.0,5.0,minimal gap (113 bp) · ⚠ both flanks essential · far from lysis cluster
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",87642,87736,94,putative DNA repair protein,essential,putative DNA repair protein,essential,29514.0,5.0,minimal gap (94 bp) · ⚠ both flanks essential · far from lysis cluster
JX126919.1,"Listeria phage LP-110, complete genome",10774,11426,652,hypothetical protein,permissive,hypothetical protein,permissive,1697.0,80.0,tight gap (652 bp) · neither flank essential · near lysis cluster (1697 bp) · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",8931,8991,60,hypothetical protein,permissive,LPXTG cell wall anchor domain containing protein,lysis,442.0,73.0,minimal gap (60 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",9816,9948,132,LPXTG cell wall anchor domain containing protein,lysis,hypothetical protein,permissive,479.0,73.0,minimal gap (132 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",5442,6260,818,putative HNH homing endonuclease,permissive,hypothetical protein,permissive,3552.0,70.0,tight gap (818 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",8115,8186,71,hypothetical protein,permissive,hypothetical protein,permissive,1253.0,70.0,minimal gap (71 bp) · neither flank essential · near lysis cluster (1253 bp) · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",10248,10648,400,hypothetical protein,permissive,hypothetical protein,permissive,1045.0,70.0,minimal gap (400 bp) · neither flank essential · near lysis cluster (1045 bp) · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",60115,60207,92,hypothetical protein,permissive,hypothetical protein,permissive,1034.0,70.0,minimal gap (92 bp) · neither flank essential · near lysis cluster (1034 bp) · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",6494,6596,102,hypothetical protein,permissive,hypothetical protein,permissive,2858.0,60.0,minimal gap (102 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",6929,7027,98,hypothetical protein,permissive,hypothetical protein,permissive,2425.0,60.0,minimal gap (98 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",48747,49332,585,hypothetical protein,permissive,hypothetical protein,permissive,10088.0,60.0,tight gap (585 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",61369,61443,74,hypothetical protein,permissive,hypothetical protein,permissive,2279.0,60.0,minimal gap (74 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",13728,13811,83,DUF1642 domain containing protein,other,hypothetical protein,permissive,4366.0,53.0,minimal gap (83 bp) · neither flank essential · within 5 kb of lysis cluster · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",1018,1098,80,hypothetical protein,permissive,hypothetical protein,permissive,8345.0,50.0,minimal gap (80 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",3044,3150,106,hypothetical protein,permissive,hypothetical protein,permissive,6306.0,50.0,minimal gap (106 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",19713,19764,51,hypothetical protein,permissive,hypothetical protein,permissive,7465.0,50.0,minimal gap (51 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",28293,28361,68,putative endolysin,lysis,terminase large subunit,essential,508.0,50.0,minimal gap (68 bp) · one flank essential (acceptable) · ⭐ adjacent to lysis gene
JX126919.1,"Listeria phage LP-110, complete genome",37735,37797,62,hypothetical protein,permissive,hypothetical protein,permissive,9947.0,50.0,minimal gap (62 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",47869,48115,246,hypothetical protein,permissive,hypothetical protein,permissive,11135.0,50.0,minimal gap (246 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",49533,49838,305,hypothetical protein,permissive,HNH homing endonuclease,permissive,9442.0,50.0,minimal gap (305 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",50342,50397,55,HNH homing endonuclease,permissive,hypothetical protein,permissive,8758.0,50.0,minimal gap (55 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX126919.1,"Listeria phage LP-110, complete genome",15769,15832,63,His-Me finger endonuclease,other,hypothetical protein,permissive,6397.0,43.0,minimal gap (63 bp) · neither flank essential · far from lysis cluster · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",34980,35057,77,fibronectin type III domain containing protein,other,hypothetical protein,permissive,7199.0,43.0,minimal gap (77 bp) · neither flank essential · far from lysis cluster · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",22528,22849,321,hypothetical protein,permissive,terminase small subunit,essential,4515.0,38.0,minimal gap (321 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",56650,56705,55,DNA polymerase I,essential,HNH homing endonuclease,permissive,2450.0,38.0,minimal gap (55 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",32179,32247,68,capsid morphogenesis protein,essential,DUF4355 domain containing protein,other,4394.0,30.0,minimal gap (68 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster
JX126919.1,"Listeria phage LP-110, complete genome",33825,33890,65,major capsid protein,essential,hypothetical protein,permissive,6038.0,28.0,minimal gap (65 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",37347,37426,79,major tail protein,essential,hypothetical protein,permissive,9567.0,28.0,minimal gap (79 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX126919.1,"Listeria phage LP-110, complete genome",52911,52987,76,putative DNA helicase,essential,DNA primase,essential,6178.0,5.0,minimal gap (76 bp) · ⚠ both flanks essential · far from lysis cluster
MN904502.1,"Listeria phage LP-018, complete genome",31065,31367,302,P-loop containing nucleoside triphosphate hydrolase,lysis,hypothetical protein,permissive,426.0,73.0,minimal gap (302 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
MN904502.1,"Listeria phage LP-018, complete genome",20407,21501,1094,hypothetical protein,permissive,HNH homing endonuclease,permissive,9836.0,70.0,comfortable gap (1094 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN904502.1,"Listeria phage LP-018, complete genome",31778,31870,92,hypothetical protein,permissive,hypothetical protein,permissive,1034.0,70.0,minimal gap (92 bp) · neither flank essential · near lysis cluster (1034 bp) · both flanks permissive (hypothetical)
MN904502.1,"Listeria phage LP-018, complete genome",47505,48671,1166,hypothetical protein,permissive,hypothetical protein,permissive,16038.0,70.0,comfortable gap (1166 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
MN904502.1,"Listeria phage LP-018, complete genome",33026,33100,74,hypothetical protein,permissive,hypothetical protein,permissive,2273.0,60.0,minimal gap (74 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive (hypothetical)
MN904502.1,"Listeria phage LP-018, complete genome",43012,43517,505,hypothetical protein,permissive,hypothetical protein,permissive,12474.0,60.0,tight gap (505 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
